station,date,prcp,tobs
USC00519397,26/12/2011,0,22.8
USC00519397,27/12/2011,0,22.2
USC00519397,28/12/2011,0,22.8
USC00519397,29/12/2011,0,22.8
USC00519397,30/12/2011,0,22.2
USC00519397,31/12/2011,0.3,17.2
USC00519397,1/01/2012,0,17.2
USC00519397,2/01/2012,0,18.9
USC00519397,3/01/2012,0,18.9
USC00519397,4/01/2012,0,23.3
USC00519397,6/01/2012,0,21.7
USC00519397,7/01/2012,0,18.3
USC00519397,8/01/2012,0,16.1
USC00519397,10/01/2012,0,21.7
USC00519397,11/01/2012,0,18.3
USC00519397,12/01/2012,0,18.9
USC00519397,14/01/2012,0,16.1
USC00519397,15/01/2012,0,23.3
USC00519397,16/01/2012,1,23.9
USC00519397,17/01/2012,0,23.9
USC00519397,18/01/2012,0,23.9
USC00519397,19/01/2012,0.5,20
USC00519397,20/01/2012,0,22.8
USC00519397,21/01/2012,0,23.3
USC00519397,22/01/2012,0,23.3
USC00519397,23/01/2012,0,19.4
USC00519397,24/01/2012,0,18.9
USC00519397,25/01/2012,0,20.6
USC00519397,26/01/2012,0,23.3
USC00519397,27/01/2012,1,20
USC00519397,28/01/2012,0.8,22.2
USC00519397,29/01/2012,26.2,22.2
USC00519397,30/01/2012,0.3,21.7
USC00519397,31/01/2012,0,21.7
USC00519397,1/02/2012,0,18.9
USC00519397,2/02/2012,0,22.2
USC00519397,3/02/2012,0,17.2
USC00519397,4/02/2012,0,18.3
USC00519397,5/02/2012,0,20.6
USC00519397,6/02/2012,0,21.7
USC00519397,7/02/2012,9.4,21.7
USC00519397,8/02/2012,7.1,18.3
USC00519397,9/02/2012,0.3,16.1
USC00519397,10/02/2012,0,21.7
USC00519397,11/02/2012,0,22.2
USC00519397,12/02/2012,0,22.2
USC00519397,13/02/2012,1,22.2
USC00519397,14/02/2012,0.3,18.3
USC00519397,15/02/2012,0,18.9
USC00519397,16/02/2012,0,22.8
USC00519397,17/02/2012,0,22.8
USC00519397,18/02/2012,1,21.7
USC00519397,19/02/2012,0.3,22.2
USC00519397,20/02/2012,0,22.8
USC00519397,21/02/2012,0,22.2
USC00519397,22/02/2012,0,22.8
USC00519397,23/02/2012,0,25
USC00519397,24/02/2012,0,19.4
USC00519397,25/02/2012,0,20.6
USC00519397,26/02/2012,1.3,22.8
